Name,Description,Disabled,Email Address,First Name,Last Name,Username (pre 2000)
GARGALLO FRANCH PASTORA BÁRBARA,59096900,FALSE,pgargallo@dummie.com,PASTORA BÁRBARA,GARGALLO FRANCH,DUMMIE\PGARGALL
  VILLALONGA PEREIRA OTILIA    BASILIO,92887861,FALSE,ovillalonga@dummie.com,OTILIA    BASILIO,  VILLALONGA PEREIRA,DUMMIE\OVILLALO
AMIGÓ CATALÁ ALBINO PEPITO,0055682627,FALSE,aamigó@dummie.com,ALBINO PEPITO,AMIGÓ CATALÁ,DUMMIE\AAMIGÓ
CISNEROS SILVA PAULA FLAVIA,43038949,FALSE,pcisneros@dummie.com,PAULA FLAVIA,CISNEROS SILVA,DUMMIE\PCISNERO
BADÍA ESCOBAR JACINTO NILDA,13891787,FALSE,jbadía@dummie.com,JACINTO NILDA,BADÍA ESCOBAR,DUMMIE\JBADÍA
BOADA CARMONA PAZ LUNA,92183559,FALSE,pboada@dummie.com,PAZ LUNA,BOADA CARMONA,DUMMIE\PBOADA
GELABERT BERENGUER LORETO MORENO,54395533,FALSE,lgelabert@dummie.com,LORETO MORENO,GELABERT BERENGUER,DUMMIE\LGELABER
VALBUENA ARCO EDMUNDO ANI,69782528,FALSE,evalbuena@dummie.com,EDMUNDO ANI,VALBUENA ARCO,DUMMIE\EVALBUEN
MURILLO SOLER LEIRE FABIÁN,52741472,FALSE,lmurillo@dummie.com,LEIRE FABIÁN,MURILLO SOLER,DUMMIE\LMURILLO
  LOBO ROBLES     JOSÉ ANTONIO PERLITA,68159588,FALSE, lobo@dummie.com,  JOSÉ ANTONIO PERLITA,  LOBO ROBLES  ,DUMMIE\ LOBO
  ARIAS SOSA     IVÁN HERACLIO,MOISÉS,FALSE, arias@dummie.com,  IVÁN HERACLIO,  ARIAS SOSA  ,DUMMIE\ ARIAS
TORRENT SALVADOR TAMARA CAYETANO,008023333,FALSE,ttorrent@dummie.com,TAMARA CAYETANO,TORRENT SALVADOR,DUMMIE\TTORRENT
PEINADO SOLSONA NIEVES CARMEN,001079672,FALSE,npeinado@dummie.com,NIEVES CARMEN,PEINADO SOLSONA,DUMMIE\NPEINADO
VERA    FLOR   EZEQUIEL RAÚL  ,49684849,FALSE, vera@dummie.com,  EZEQUIEL RAÚL  ,VERA    FLOR,DUMMIE\ VERA
ROSALES MANJÓN MIRIAM RUFINO,06249442,FALSE,mrosales@dummie.com,MIRIAM RUFINO,ROSALES MANJÓN,DUMMIE\MROSALES
GORDILLO RINCÓN JOSE ANGEL CONSTANZA,0060242,FALSE,jgordillo@dummie.com,JOSE ANGEL CONSTANZA,GORDILLO RINCÓN,DUMMIE\JGORDILL
BOSCH LUÍS LUCILA PAULA,MOISÉS,FALSE,lbosch@dummie.com,LUCILA PAULA,BOSCH LUÍS,DUMMIE\LBOSCH
PLA ROCHA GILBERTO AMANDA,77054399,FALSE,gpla@dummie.com,GILBERTO AMANDA,PLA ROCHA,DUMMIE\GPLA
CUENCA LLEDÓ CIRO FÁTIMA,0057801538,FALSE,ccuenca@dummie.com,CIRO FÁTIMA,CUENCA LLEDÓ,DUMMIE\CCUENCA
ALCÁNTARA GALÁN GOYO MANUELA,MOISÉS,FALSE,galcántara@dummie.com,GOYO MANUELA,ALCÁNTARA GALÁN,DUMMIE\GALCÁNTA
GARAY PACHECO NAYARA JUAN,38250361,FALSE,ngaray@dummie.com,NAYARA JUAN,GARAY PACHECO,DUMMIE\NGARAY
ARELLANO NAVARRO SARITA MARÍA DOLORES,MOISÉS,FALSE,sarellano@dummie.com,SARITA MARÍA DOLORES,ARELLANO NAVARRO,DUMMIE\SARELLAN
SEVILLA GUARDIOLA NAYARA SANDALIO,75374853,FALSE,nsevilla@dummie.com,NAYARA SANDALIO,SEVILLA GUARDIOLA,DUMMIE\NSEVILLA
DURÁN ECHEVERRÍA JORDI DORA,0007003,FALSE,jdurán@dummie.com,JORDI DORA,DURÁN ECHEVERRÍA,DUMMIE\JDURÁN
SUÁREZ HERRERO MILAGROS AINARA,87971489,FALSE,msuárez@dummie.com,MILAGROS AINARA,SUÁREZ HERRERO,DUMMIE\MSUÁREZ
LÓPEZ BAÑOS TRINIDAD GUILLERMO,96860154,FALSE,tlópez@dummie.com,TRINIDAD GUILLERMO,LÓPEZ BAÑOS,DUMMIE\TLÓPEZ
IZQUIERDO PALOMINO VÍCTOR VICTORINO,83185577,FALSE,vizquierdo@dummie.com,VÍCTOR VICTORINO,IZQUIERDO PALOMINO,DUMMIE\VIZQUIER
GALÁN FERNÁNDEZ EDMUNDO ARISTIDES,45439044,FALSE,egalán@dummie.com,EDMUNDO ARISTIDES,GALÁN FERNÁNDEZ,DUMMIE\EGALÁN
AZORIN    GIBERT   DANIEL JONATAN  ,87069905,FALSE, azorin@dummie.com,  DANIEL JONATAN  ,AZORIN    GIBERT,DUMMIE\ AZORIN
CARRETERO BOTELLA FAUSTO NOEMÍ,94332363,FALSE,fcarretero@dummie.com,FAUSTO NOEMÍ,CARRETERO BOTELLA,DUMMIE\FCARRETE
IZQUIERDO SEGURA JOSÉ MARI GRISELDA,77844240,FALSE,jizquierdo@dummie.com,JOSÉ MARI GRISELDA,IZQUIERDO SEGURA,DUMMIE\JIZQUIER
CARBÓ CÉSPEDES MARÍA CÁNDIDO,11003627,FALSE,mcarbó@dummie.com,MARÍA CÁNDIDO,CARBÓ CÉSPEDES,DUMMIE\MCARBÓ
ESCOLANO VILLANUEVA SANTIAGO ELENA,72920557,FALSE,sescolano@dummie.com,SANTIAGO ELENA,ESCOLANO VILLANUEVA,DUMMIE\SESCOLAN
VAQUERO CARPIO CIRO ALMA,82000925,FALSE,cvaquero@dummie.com,CIRO ALMA,VAQUERO CARPIO,DUMMIE\CVAQUERO
BARBA AGUSTÍ JULIA FRANCISCO JAVIER,53437399,FALSE,jbarba@dummie.com,JULIA FRANCISCO JAVIER,BARBA AGUSTÍ,DUMMIE\JBARBA
HERRANZ COBO      LUPE TIMOTEO  ,24744873,FALSE, herranz@dummie.com,  LUPE TIMOTEO  ,HERRANZ COBO   ,DUMMIE\ HERRANZ
ROJAS CARMONA CLAUDIO RENATA,008388908,FALSE,crojas@dummie.com,CLAUDIO RENATA,ROJAS CARMONA,DUMMIE\CROJAS
ORTIZ VERA CANDELARIO MARTÍN,006170517,FALSE,cortiz@dummie.com,CANDELARIO MARTÍN,ORTIZ VERA,DUMMIE\CORTIZ
ESPINOSA MOLL PRIMITIVA SERAFINA,52049576,FALSE,pespinosa@dummie.com,PRIMITIVA SERAFINA,ESPINOSA MOLL,DUMMIE\PESPINOS
LEDESMA BUENDÍA RAMÓN OFELIA,008603187,FALSE,rledesma@dummie.com,RAMÓN OFELIA,LEDESMA BUENDÍA,DUMMIE\RLEDESMA
ORTEGA PEREZ COSME PATRICIA,MOISÉS,FALSE,cortega@dummie.com,COSME PATRICIA,ORTEGA PEREZ,DUMMIE\CORTEGA
GARCÉS MÁRMOL NATANAEL PONCIO,90436764,FALSE,ngarcés@dummie.com,NATANAEL PONCIO,GARCÉS MÁRMOL,DUMMIE\NGARCÉS
  CAÑETE LAMAS   LUCÍA    PÍO,03874791,FALSE,lcañete@dummie.com,LUCÍA    PÍO,  CAÑETE LAMAS  ,DUMMIE\LCAÑETE
COBOS PUIG ÚRSULA CARMELO,44762842,FALSE,úcobos@dummie.com,ÚRSULA CARMELO,COBOS PUIG,DUMMIE\ÚCOBOS
OSORIO ROYO LEONARDO FELICIANA,79699990,FALSE,losorio@dummie.com,LEONARDO FELICIANA,OSORIO ROYO,DUMMIE\LOSORIO
MONTSERRAT VARELA SOCORRO RODRIGO,06783419,FALSE,smontserrat@dummie.com,SOCORRO RODRIGO,MONTSERRAT VARELA,DUMMIE\SMONTSER
GUARDIA    POL GOYO GUADALUPE   ,71432351,FALSE,gguardia@dummie.com,GOYO GUADALUPE   ,GUARDIA    POL,DUMMIE\GGUARDIA
CORONADO BENET GALO MARÍA TERESA,0067908,FALSE,gcoronado@dummie.com,GALO MARÍA TERESA,CORONADO BENET,DUMMIE\GCORONAD
REQUENA HURTADO JUANITO FELICIANO,0041837,FALSE,jrequena@dummie.com,JUANITO FELICIANO,REQUENA HURTADO,DUMMIE\JREQUENA
RAMIS OSORIO OLGA RUFINA,MOISÉS,FALSE,oramis@dummie.com,OLGA RUFINA,RAMIS OSORIO,DUMMIE\ORAMIS
HOYOS VALERA CARMELITA FÁTIMA,54800543,FALSE,choyos@dummie.com,CARMELITA FÁTIMA,HOYOS VALERA,DUMMIE\CHOYOS
NARANJO ROMÁN LALO AZUCENA,61974028,FALSE,lnaranjo@dummie.com,LALO AZUCENA,NARANJO ROMÁN,DUMMIE\LNARANJO
ALMAGRO    PORTERO   SAMANTA ADORACIÓN  ,77446469,FALSE, almagro@dummie.com,  SAMANTA ADORACIÓN  ,ALMAGRO    PORTERO,DUMMIE\ ALMAGRO
  OLIVER MONTENEGRO     FLORENCIO FANNY,006296289,FALSE, oliver@dummie.com,  FLORENCIO FANNY,  OLIVER MONTENEGRO  ,DUMMIE\ OLIVER
MARTÍNEZ MORALEDA RAFA TOMASA,72062302,FALSE,rmartínez@dummie.com,RAFA TOMASA,MARTÍNEZ MORALEDA,DUMMIE\RMARTÍNE
BASTIDA    MENDOZA   RÓMULO LILIANA,98587475,FALSE, bastida@dummie.com,  RÓMULO LILIANA,BASTIDA    MENDOZA,DUMMIE\ BASTIDA
BALAGUER CABELLO BENJAMÍN SAMUEL,003555161,FALSE,bbalaguer@dummie.com,BENJAMÍN SAMUEL,BALAGUER CABELLO,DUMMIE\BBALAGUE
CARRANZA GALAN NEREA ENCARNACIÓN,91208394,FALSE,ncarranza@dummie.com,NEREA ENCARNACIÓN,CARRANZA GALAN,DUMMIE\NCARRANZ
URIARTE    FERRÁN   LUZ VALENTINA  ,MOISÉS,FALSE, uriarte@dummie.com,  LUZ VALENTINA  ,URIARTE    FERRÁN,DUMMIE\ URIARTE
TORRE FERNANDEZ JAIME EMIGDIO,63900136,FALSE,jtorre@dummie.com,JAIME EMIGDIO,TORRE FERNANDEZ,DUMMIE\JTORRE
ARNAIZ MOLES MARTÍN ARÁNZAZU,39910062,FALSE,marnaiz@dummie.com,MARTÍN ARÁNZAZU,ARNAIZ MOLES,DUMMIE\MARNAIZ
LANDA NEVADO ESTRELLA JIMENA,MOISÉS,FALSE,elanda@dummie.com,ESTRELLA JIMENA,LANDA NEVADO,DUMMIE\ELANDA
CALATAYUD GOMEZ MANUELITA FLOR,45511259,FALSE,mcalatayud@dummie.com,MANUELITA FLOR,CALATAYUD GOMEZ,DUMMIE\MCALATAY
JOVE BENAVIDES ALFREDO BERTO,MOISÉS,FALSE,ajove@dummie.com,ALFREDO BERTO,JOVE BENAVIDES,DUMMIE\AJOVE
CAMPILLO RODRÍGUEZ ISIDORO GABRIEL,0033374,FALSE,icampillo@dummie.com,ISIDORO GABRIEL,CAMPILLO RODRÍGUEZ,DUMMIE\ICAMPILL
VALDERRAMA GALIANO JAVIERA ALICIA,22099900,FALSE,jvalderrama@dummie.com,JAVIERA ALICIA,VALDERRAMA GALIANO,DUMMIE\JVALDERR
CARRERA CASTELLS CLETO RUFINO,30158812,FALSE,ccarrera@dummie.com,CLETO RUFINO,CARRERA CASTELLS,DUMMIE\CCARRERA
SANTAMARIA MONTAÑA BONIFACIO MARCELO,005796548,FALSE,bsantamaria@dummie.com,BONIFACIO MARCELO,SANTAMARIA MONTAÑA,DUMMIE\BSANTAMA
PRIETO VALLÉS RAÚL JONATAN,26054021,FALSE,rprieto@dummie.com,RAÚL JONATAN,PRIETO VALLÉS,DUMMIE\RPRIETO
CASARES GUITART GISELA JOSÉ,98182615,FALSE,gcasares@dummie.com,GISELA JOSÉ,CASARES GUITART,DUMMIE\GCASARES
BARRAL CÓZAR REYNALDO ABILIO,06323853,FALSE,rbarral@dummie.com,REYNALDO ABILIO,BARRAL CÓZAR,DUMMIE\RBARRAL
TABOADA AGULLO DARÍO GUIOMAR,0078343,FALSE,dtaboada@dummie.com,DARÍO GUIOMAR,TABOADA AGULLO,DUMMIE\DTABOADA
RIBERA NIETO MIRTA ANUNCIACIÓN,0014549,FALSE,mribera@dummie.com,MIRTA ANUNCIACIÓN,RIBERA NIETO,DUMMIE\MRIBERA
VILA ARIZA TATIANA CONSTANZA,MOISÉS,FALSE,tvila@dummie.com,TATIANA CONSTANZA,VILA ARIZA,DUMMIE\TVILA
ROMAN DAZA ENCARNACIÓN EMILIO,0080023801,FALSE,eroman@dummie.com,ENCARNACIÓN EMILIO,ROMAN DAZA,DUMMIE\EROMAN
PALMER ANAYA JULIANA JUANITA,74429199,FALSE,jpalmer@dummie.com,JULIANA JUANITA,PALMER ANAYA,DUMMIE\JPALMER
BERMEJO MILLÁN CORAL TIMOTEO,90912014,FALSE,cbermejo@dummie.com,CORAL TIMOTEO,BERMEJO MILLÁN,DUMMIE\CBERMEJO
NARVÁEZ    SALOM AITOR JUAN MANUEL   ,MOISÉS,FALSE,anarváez@dummie.com,AITOR JUAN MANUEL   ,NARVÁEZ    SALOM,DUMMIE\ANARVÁEZ
MASCARÓ RAMIS CARLOTA PERLA,MOISÉS,FALSE,cmascaró@dummie.com,CARLOTA PERLA,MASCARÓ RAMIS,DUMMIE\CMASCARÓ
FRANCISCO CERVERA MARTIN JENNIFER,MOISÉS,FALSE,mfrancisco@dummie.com,MARTIN JENNIFER,FRANCISCO CERVERA,DUMMIE\MFRANCIS
BELLIDO DONOSO BIBIANA LUISINA,45176956,FALSE,bbellido@dummie.com,BIBIANA LUISINA,BELLIDO DONOSO,DUMMIE\BBELLIDO
GIL HUERTAS IRMA MARISELA,61894494,FALSE,igil@dummie.com,IRMA MARISELA,GIL HUERTAS,DUMMIE\IGIL
CERRO CABALLERO VERA EULALIA,MOISÉS,FALSE,vcerro@dummie.com,VERA EULALIA,CERRO CABALLERO,DUMMIE\VCERRO
VILLAR OCAÑA EDUARDO SELENA,MOISÉS,FALSE,evillar@dummie.com,EDUARDO SELENA,VILLAR OCAÑA,DUMMIE\EVILLAR
SÁENZ DOMÉNECH GENOVEVA CESAR,12660195,FALSE,gsáenz@dummie.com,GENOVEVA CESAR,SÁENZ DOMÉNECH,DUMMIE\GSÁENZ
MARISCAL SILVA RENATA DESIDERIO,51940567,FALSE,rmariscal@dummie.com,RENATA DESIDERIO,MARISCAL SILVA,DUMMIE\RMARISCA
TORRIJOS MOLINS ALEXANDRA PACO,51167979,FALSE,atorrijos@dummie.com,ALEXANDRA PACO,TORRIJOS MOLINS,DUMMIE\ATORRIJO
FRANCH SANZ CIPRIANO JOSUÉ,0093275653,FALSE,cfranch@dummie.com,CIPRIANO JOSUÉ,FRANCH SANZ,DUMMIE\CFRANCH
ARNAU SERRA AURELIANO FLORENTINO,50562486,FALSE,aarnau@dummie.com,AURELIANO FLORENTINO,ARNAU SERRA,DUMMIE\AARNAU
CANTÓN AMAYA MANUELA LEONARDO,85822413,FALSE,mcantón@dummie.com,MANUELA LEONARDO,CANTÓN AMAYA,DUMMIE\MCANTÓN
CALVO CUEVAS NARCISO SERGIO,21367173,FALSE,ncalvo@dummie.com,NARCISO SERGIO,CALVO CUEVAS,DUMMIE\NCALVO
GUIJARRO MOYA MARÍA ÁNGELES EUSEBIO,31039391,FALSE,mguijarro@dummie.com,MARÍA ÁNGELES EUSEBIO,GUIJARRO MOYA,DUMMIE\MGUIJARR
BLAZQUEZ MENENDEZ CELIA RENATO,000136246,FALSE,cblazquez@dummie.com,CELIA RENATO,BLAZQUEZ MENENDEZ,DUMMIE\CBLAZQUE
BAUZÀ ZORRILLA CANDELAS ANUNCIACIÓN,MOISÉS,FALSE,cbauzà@dummie.com,CANDELAS ANUNCIACIÓN,BAUZÀ ZORRILLA,DUMMIE\CBAUZÀ
ROS MORALES EMELINA JOSE ANGEL,19984683,FALSE,eros@dummie.com,EMELINA JOSE ANGEL,ROS MORALES,DUMMIE\EROS
BAUZÀ ANGULO ROSALINA NATALIO,35935573,FALSE,rbauzà@dummie.com,ROSALINA NATALIO,BAUZÀ ANGULO,DUMMIE\RBAUZÀ
PINTO COLOMA PACA ISA,MOISÉS,FALSE,ppinto@dummie.com,PACA ISA,PINTO COLOMA,DUMMIE\PPINTO
APARICIO ESCOBAR ÚRSULA REMEDIOS,008583128,FALSE,úaparicio@dummie.com,ÚRSULA REMEDIOS,APARICIO ESCOBAR,DUMMIE\ÚAPARICI
CUERVO RICART CANDELARIA BRUNILDA,MOISÉS,FALSE,ccuervo@dummie.com,CANDELARIA BRUNILDA,CUERVO RICART,DUMMIE\CCUERVO
PEÑALVER ESPEJO MARISELA BRÍGIDA,006734975,FALSE,mpeñalver@dummie.com,MARISELA BRÍGIDA,PEÑALVER ESPEJO,DUMMIE\MPEÑALVE
PUGA GIBERT TIMOTEO PALOMA,29597484,FALSE,tpuga@dummie.com,TIMOTEO PALOMA,PUGA GIBERT,DUMMIE\TPUGA
CARBAJO ESCOLANO MELANIA DELFINA,42168967,FALSE,mcarbajo@dummie.com,MELANIA DELFINA,CARBAJO ESCOLANO,DUMMIE\MCARBAJO
DIAZ PEDRO FAUSTO JOSÉ MARI,001029866,FALSE,fdiaz@dummie.com,FAUSTO JOSÉ MARI,DIAZ PEDRO,DUMMIE\FDIAZ
MARTÍN TOVAR ROSENDA EUSTAQUIO,97783663,FALSE,rmartín@dummie.com,ROSENDA EUSTAQUIO,MARTÍN TOVAR,DUMMIE\RMARTÍN
MAS COBOS NOELIA ABIGAÍL,34489941,FALSE,nmas@dummie.com,NOELIA ABIGAÍL,MAS COBOS,DUMMIE\NMAS
HARO MENDOZA NYDIA MILAGROS,007387189,FALSE,nharo@dummie.com,NYDIA MILAGROS,HARO MENDOZA,DUMMIE\NHARO
ALBERDI    CRESPO   ANSELMA REINA  ,60873664,FALSE, alberdi@dummie.com,  ANSELMA REINA  ,ALBERDI    CRESPO,DUMMIE\ ALBERDI
ALEGRIA ÁVILA LORENZA LEONARDO,87902130,FALSE,lalegria@dummie.com,LORENZA LEONARDO,ALEGRIA ÁVILA,DUMMIE\LALEGRIA
FUENTE MATA HÉCTOR MARÍA FERNANDA,34392447,FALSE,hfuente@dummie.com,HÉCTOR MARÍA FERNANDA,FUENTE MATA,DUMMIE\HFUENTE
CRUZ RAMÍREZ FORTUNATA SILVIA,MOISÉS,FALSE,fcruz@dummie.com,FORTUNATA SILVIA,CRUZ RAMÍREZ,DUMMIE\FCRUZ
BORRÁS CAPDEVILA HILDA SEVERIANO,21803704,FALSE,hborrás@dummie.com,HILDA SEVERIANO,BORRÁS CAPDEVILA,DUMMIE\HBORRÁS
FARRÉ ALEMÁN    INMACULADA ADALBERTO   ,21139997,FALSE,ifarré@dummie.com,INMACULADA ADALBERTO   ,FARRÉ ALEMÁN   ,DUMMIE\IFARRÉ
TAMARIT PALMER ANUNCIACIÓN MARCELO,49251189,FALSE,atamarit@dummie.com,ANUNCIACIÓN MARCELO,TAMARIT PALMER,DUMMIE\ATAMARIT
FONT MESA SABAS HILDA,85899314,FALSE,sfont@dummie.com,SABAS HILDA,FONT MESA,DUMMIE\SFONT
CALATAYUD BONET DOMINGA TELMO,009952922,FALSE,dcalatayud@dummie.com,DOMINGA TELMO,CALATAYUD BONET,DUMMIE\DCALATAY
IBARRA CRIADO ANGELINA CIRIACO,MOISÉS,FALSE,aibarra@dummie.com,ANGELINA CIRIACO,IBARRA CRIADO,DUMMIE\AIBARRA
SEGARRA CLAVERO JUAN MANUEL EMILIO,16753884,FALSE,jsegarra@dummie.com,JUAN MANUEL EMILIO,SEGARRA CLAVERO,DUMMIE\JSEGARRA
BARROS CAL NEREA SALOMÉ,06904976,FALSE,nbarros@dummie.com,NEREA SALOMÉ,BARROS CAL,DUMMIE\NBARROS
CONTRERAS ALCOLEA ANA ISAAC,81197625,FALSE,acontreras@dummie.com,ANA ISAAC,CONTRERAS ALCOLEA,DUMMIE\ACONTRER
CORONADO FUERTES JORDANA ITZIAR,86213227,FALSE,jcoronado@dummie.com,JORDANA ITZIAR,CORONADO FUERTES,DUMMIE\JCORONAD
NÚÑEZ GALÁN SEVE VICENTA,64985554,FALSE,snúñez@dummie.com,SEVE VICENTA,NÚÑEZ GALÁN,DUMMIE\SNÚÑEZ
REDONDO SALA CEBRIÁN ELIANA,85004925,FALSE,credondo@dummie.com,CEBRIÁN ELIANA,REDONDO SALA,DUMMIE\CREDONDO
VALLE ESCALONA ANUNCIACIÓN XIMENA,85320122,FALSE,avalle@dummie.com,ANUNCIACIÓN XIMENA,VALLE ESCALONA,DUMMIE\AVALLE
ROPERO CANTERO LORETO IRENE,63560290,FALSE,lropero@dummie.com,LORETO IRENE,ROPERO CANTERO,DUMMIE\LROPERO
SAURA ROYO AZUCENA FELICIDAD,86344421,FALSE,asaura@dummie.com,AZUCENA FELICIDAD,SAURA ROYO,DUMMIE\ASAURA
PANIAGUA PONS ADORA YÉSSICA,21198493,FALSE,apaniagua@dummie.com,ADORA YÉSSICA,PANIAGUA PONS,DUMMIE\APANIAGU
HERAS CUADRADO MARÍA CARMEN,37463523,FALSE,mheras@dummie.com,MARÍA CARMEN,HERAS CUADRADO,DUMMIE\MHERAS
MOLINA ESCRIBANO MELANIA CECILIO,MOISÉS,FALSE,mmolina@dummie.com,MELANIA CECILIO,MOLINA ESCRIBANO,DUMMIE\MMOLINA
PEINADO MADRID CARMELO FILOMENA,23640703,FALSE,cpeinado@dummie.com,CARMELO FILOMENA,PEINADO MADRID,DUMMIE\CPEINADO
BARCO HIDALGO CHEMA ÁMBAR,MOISÉS,FALSE,cbarco@dummie.com,CHEMA ÁMBAR,BARCO HIDALGO,DUMMIE\CBARCO
SANCHEZ MORALEDA ROSARIO EULALIA,56379330,FALSE,rsanchez@dummie.com,ROSARIO EULALIA,SANCHEZ MORALEDA,DUMMIE\RSANCHEZ
MONTESINOS LEON LUISINA SIGFRIDO,99765072,FALSE,lmontesinos@dummie.com,LUISINA SIGFRIDO,MONTESINOS LEON,DUMMIE\LMONTESI
DURÁN CASTELLANOS CRISTÓBAL ROLDÁN,MOISÉS,FALSE,cdurán@dummie.com,CRISTÓBAL ROLDÁN,DURÁN CASTELLANOS,DUMMIE\CDURÁN
  URÍA SOSA LUCHO    BRUNILDA,MOISÉS,FALSE,luría@dummie.com,LUCHO    BRUNILDA,  URÍA SOSA,DUMMIE\LURÍA
ARRIETA ARIAS EMIGDIO LEYRE,96180871,FALSE,earrieta@dummie.com,EMIGDIO LEYRE,ARRIETA ARIAS,DUMMIE\EARRIETA
NAVARRETE VENDRELL PATRICIA ARACELI,006130884,FALSE,pnavarrete@dummie.com,PATRICIA ARACELI,NAVARRETE VENDRELL,DUMMIE\PNAVARRE
CAZORLA ENRÍQUEZ ANITA CANDELA,49115281,FALSE,acazorla@dummie.com,ANITA CANDELA,CAZORLA ENRÍQUEZ,DUMMIE\ACAZORLA
PUERTA PAZ CIPRIANO MORENA,57062157,FALSE,cpuerta@dummie.com,CIPRIANO MORENA,PUERTA PAZ,DUMMIE\CPUERTA
SALCEDO DELGADO JOAQUINA MARCELINO,89245318,FALSE,jsalcedo@dummie.com,JOAQUINA MARCELINO,SALCEDO DELGADO,DUMMIE\JSALCEDO
