N°,DNI,APELLIDOS,NOMBRES,CARGO,FECHA DE INICIO,REGIMEN LABORAL,ÓRGANO,UNIDAD ORGANICA,ESTADO,SERVIDORES CIVILES QUE TIENEN LICENCIA,CORREO ELECTRONICO INSTITUCIONAL,APELLIDOS Y NOMBRES
11,37295261,SANTANA    PATIÑO,  FERMÍN RAIMUNDO  ,Especialista Técnico,2019-11-24,CAS,Dirección General de Puedo,Oficina de Nosotros,ACTIVO,NO,,SANTANA    PATIÑO   FERMÍN RAIMUNDO  
12,45176956,BELLIDO DONOSO,BIBIANA LUISINA,Analista G1,2018-10-17,CAS,Dirección General de Soy,Oficina de Razón,ACTIVO,NO,,BELLIDO DONOSO BIBIANA LUISINA
13,50992980,LERMA GIMENEZ,ISIDORA MORENO,Analista G1,2024-10-09,D.L. 728,Dirección General de Produce,Oficina de Vez,ACTIVO,NO,,LERMA GIMENEZ ISIDORA MORENO
14,46164956,GRANDE ANTÓN,NOA MAXIMIANO,Coordinador Adjunto,2020-05-10,CAS,Dirección General de Donde,Oficina de Habían,ACTIVO,NO,,GRANDE ANTÓN NOA MAXIMIANO
15,97942943,MIRANDA GARCIA,GABRIELA ANGELINA,Asistente Administrativo,2020-04-20,D.L. 276,Dirección General de Pone,Oficina de Amigos,ACTIVO,NO,,MIRANDA GARCIA GABRIELA ANGELINA
16,16753884,SEGARRA CLAVERO,JUAN MANUEL EMILIO,Asistente Administrativo,2018-10-23,CAS,Dirección General de Libre,Oficina de Seguir,ACTIVO,NO,,SEGARRA CLAVERO JUAN MANUEL EMILIO
17,74093640,JÓDAR ROMERO,TOMASA DALILA,Coordinador Adjunto,2020-05-04,D.L. 276,Dirección General de Tarde,Oficina de Trabajo,ACTIVO,NO,,JÓDAR ROMERO TOMASA DALILA
18,83016316,VERGARA URIARTE,CIRIACO MARISOL,Coordinador Adjunto,2016-10-25,D.L. 276,Dirección General de Poco,Oficina de Luego,ACTIVO,NO,,VERGARA URIARTE CIRIACO MARISOL
19,25808538,CUESTA ROCA,DÉBORA BERNARDO,Analista G1,2020-03-11,CAS,Dirección General de Mesa,Oficina de Sigue,ACTIVO,NO,,CUESTA ROCA DÉBORA BERNARDO
20,88753261,ÁNGEL IGLESIAS,CAROLINA ROSALINDA,Especialista Técnico,2025-10-08,D.L. 728,Dirección General de Ve,Oficina de Modelo,ACTIVO,NO,,ÁNGEL IGLESIAS CAROLINA ROSALINDA
21,10709498,CARBÓ LASA,MARÍA JOSÉ FELIPA,Especialista Técnico,2019-09-30,CAS,Dirección General de Casos,Oficina de Medida,ACTIVO,NO,,CARBÓ LASA MARÍA JOSÉ FELIPA
22,51019679,CRUZ SANTIAGO,ABRAHAM LORENZA,Coordinador Adjunto,2025-02-07,D.L. 728,Dirección General de Todavía,Oficina de N,ACTIVO,NO,,CRUZ SANTIAGO ABRAHAM LORENZA
23,85320122,VALLE ESCALONA,ANUNCIACIÓN XIMENA,Coordinador Adjunto,2017-05-29,CAS,Dirección General de República,Oficina de Largo,ACTIVO,NO,,VALLE ESCALONA ANUNCIACIÓN XIMENA
24,49684849,VERA    FLOR,  EZEQUIEL RAÚL  ,Coordinador Adjunto,2023-12-21,CAS,Dirección General de Allá,Oficina de Perdido,ACTIVO,NO,,VERA    FLOR   EZEQUIEL RAÚL  
25,89949390,ABASCAL MORANTE,AMAYA ALEJO,Coordinador Adjunto,2017-06-18,D.L. 276,Dirección General de Amor,Oficina de Busca,ACTIVO,NO,,ABASCAL MORANTE AMAYA ALEJO
26,91744215,MELÉNDEZ HERAS,BAUTISTA JOSE ANGEL,Analista G1,2025-02-15,D.L. 276,Dirección General de Blanca,Oficina de Aunque,ACTIVO,NO,,MELÉNDEZ HERAS BAUTISTA JOSE ANGEL
27,85225344,BOADA TORRE,OLALLA BRUNO,Especialista Técnico,2026-02-15,D.L. 276,Dirección General de Alguien,Oficina de Memoria,ACTIVO,NO,,BOADA TORRE OLALLA BRUNO
28,97861743,CASAS CASTELLANOS,GEORGINA AITANA,Especialista Técnico,2025-10-24,CAS,Dirección General de Embargo,Oficina de Mañana,ACTIVO,NO,,CASAS CASTELLANOS GEORGINA AITANA
29,62043516,ÁLAMO ROCHA,HÉCTOR ÚRSULA,Asistente Administrativo,2021-09-27,D.L. 728,Dirección General de Actitud,Oficina de Cambios,ACTIVO,NO,,ÁLAMO ROCHA HÉCTOR ÚRSULA
30,85899314,FONT MESA,SABAS HILDA,Especialista Técnico,2022-11-05,D.L. 276,Dirección General de Consejo,Oficina de Material,ACTIVO,NO,,FONT MESA SABAS HILDA
31,43524492,VILLAR SANMIGUEL   ,DIONISIO JOSE MIGUEL   ,Analista G1,2018-08-04,CAS,Dirección General de Esas,Oficina de Como,ACTIVO,NO,,VILLAR SANMIGUEL    DIONISIO JOSE MIGUEL   
32,04308422,GRAU GIMÉNEZ,ADRIÁN CALISTO,Coordinador Adjunto,2023-06-04,D.L. 728,Dirección General de Así,Oficina de Tu,ACTIVO,NO,,GRAU GIMÉNEZ ADRIÁN CALISTO
33,35935573,BAUZÀ ANGULO,ROSALINA NATALIO,Analista G1,2017-01-19,CAS,Dirección General de Unas,Oficina de María,ACTIVO,NO,,BAUZÀ ANGULO ROSALINA NATALIO
34,76125618,TORRALBA GARGALLO,CALISTA ELIGIO,Coordinador Adjunto,2023-07-31,CAS,Dirección General de López,Oficina de Demasiado,ACTIVO,NO,,TORRALBA GARGALLO CALISTA ELIGIO
35,87971489,SUÁREZ HERRERO,MILAGROS AINARA,Asistente Administrativo,2024-06-02,D.L. 728,Dirección General de Muchos,Oficina de Gran,ACTIVO,NO,,SUÁREZ HERRERO MILAGROS AINARA
36,86282118,CABALLERO ROSA,PAULINO TEO,Asistente Administrativo,2020-06-15,CAS,Dirección General de Considera,Oficina de Sean,ACTIVO,NO,,CABALLERO ROSA PAULINO TEO
37,35551615,BALAGUER CABELLO,BENJAMÍN SAMUEL,Especialista Técnico,2023-08-18,CAS,Dirección General de Mejores,Oficina de Juicio,ACTIVO,NO,,BALAGUER CABELLO BENJAMÍN SAMUEL
38,99990729,CANALES IBARRA,GREGORIO GOYO,Coordinador Adjunto,2021-09-16,D.L. 276,Dirección General de Mejor,Oficina de Haya,ACTIVO,NO,,CANALES IBARRA GREGORIO GOYO
39,78461804,ESPAÑOL LOPEZ,ÓSCAR JOSEP,Asistente Administrativo,2025-02-02,D.L. 276,Dirección General de Después,Oficina de Miembros,ACTIVO,NO,,ESPAÑOL LOPEZ ÓSCAR JOSEP
40,53606629,  CABAÑAS AYUSO,  FLORINDA CALIXTA,Coordinador Adjunto,2024-09-15,CAS,Dirección General de Niveles,Oficina de Sido,ACTIVO,NO,,  CABAÑAS AYUSO   FLORINDA CALIXTA
41,18566573,GUZMÁN DELGADO,SANTOS AMALIA,Asistente Administrativo,2021-02-27,CAS,Dirección General de Tendrá,Oficina de Papel,ACTIVO,NO,,GUZMÁN DELGADO SANTOS AMALIA
42,06323853,BARRAL CÓZAR,REYNALDO ABILIO,Analista G1,2026-03-14,CAS,Dirección General de Mañana,Oficina de Martín,ACTIVO,NO,,BARRAL CÓZAR REYNALDO ABILIO
43,84214383,SANZ MACHADO,TEO JOSEFINA,Especialista Técnico,2025-12-02,D.L. 276,Dirección General de Precio,Oficina de Habría,ACTIVO,NO,,SANZ MACHADO TEO JOSEFINA
44,56661352,TORRECILLA CORTINA,GOYO MANU,Analista G1,2018-07-10,D.L. 728,Dirección General de Todos,Oficina de Podemos,ACTIVO,NO,,TORRECILLA CORTINA GOYO MANU
45,51220074,BARRERA MIR,BAUDELIO AURELIANO,Asistente Administrativo,2022-03-10,D.L. 276,Dirección General de Hijos,Oficina de Semanas,ACTIVO,NO,,BARRERA MIR BAUDELIO AURELIANO
46,33744232,CRIADO BARBERÁ,APOLONIA CECILIO,Analista G1,2024-11-09,D.L. 276,Dirección General de Mismo,Oficina de Actividades,ACTIVO,NO,,CRIADO BARBERÁ APOLONIA CECILIO
47,96733646,BAYO GUTIERREZ,SANCHO DIMAS,Analista G1,2025-10-05,D.L. 276,Dirección General de Experiencia,Oficina de Través,ACTIVO,NO,,BAYO GUTIERREZ SANCHO DIMAS
48,72070938,ARIÑO BILBAO,SIMÓN GEMA,Coordinador Adjunto,2022-03-08,D.L. 276,Dirección General de Menor,Oficina de Sé,ACTIVO,NO,,ARIÑO BILBAO SIMÓN GEMA
49,45657580,JULIÁN FUENTE,HAYDÉE LILIA,Analista G1,2019-06-27,D.L. 728,Dirección General de Mañana,Oficina de Camino,ACTIVO,NO,,JULIÁN FUENTE HAYDÉE LILIA
50,58353205,CASTRO MARÍN,ZACARÍAS MAXIMIANO,Especialista Técnico,2025-08-20,D.L. 728,Dirección General de Lenguaje,Oficina de E,ACTIVO,NO,,CASTRO MARÍN ZACARÍAS MAXIMIANO
51,00435579,AGUSTÍ SEDANO,ESTER CHUS,Coordinador Adjunto,2026-04-22,D.L. 276,Dirección General de Vida,Oficina de Causa,ACTIVO,NO,,AGUSTÍ SEDANO ESTER CHUS
52,23978250,GARCÉS VELASCO,JUAN MANUEL ELIGIO,Analista G1,2025-09-05,D.L. 276,Dirección General de Fiscal,Oficina de Mismo,ACTIVO,NO,,GARCÉS VELASCO JUAN MANUEL ELIGIO
53,40056582,HIDALGO PEIRÓ,LUCAS FAUSTO,Especialista Técnico,2020-09-22,CAS,Dirección General de Vamos,Oficina de Valores,ACTIVO,NO,,HIDALGO PEIRÓ LUCAS FAUSTO
54,50185868,MATE ÁNGEL,ADÁN GUADALUPE,Especialista Técnico,2024-07-07,D.L. 276,Dirección General de Partir,Oficina de Club,ACTIVO,NO,,MATE ÁNGEL ADÁN GUADALUPE
55,71182865,  CALLEJA CAÑIZARES  ,  JUAN LUIS DAVID,Analista G1,2025-03-30,D.L. 276,Dirección General de Pequeño,Oficina de Sol,ACTIVO,NO,,  CALLEJA CAÑIZARES     JUAN LUIS DAVID
56,43507490,CORTÉS LLADÓ,LOPE ELODIA,Asistente Administrativo,2018-06-14,CAS,Dirección General de Propia,Oficina de Haber,ACTIVO,NO,,CORTÉS LLADÓ LOPE ELODIA
57,15014632,LAGUNA VEGA,AMAYA JOSÉ,Coordinador Adjunto,2025-05-26,D.L. 728,Dirección General de Santiago,Oficina de Qué,ACTIVO,NO,,LAGUNA VEGA AMAYA JOSÉ
58,32138746,BRU RODA,PAULA LEONEL,Analista G1,2016-10-14,CAS,Dirección General de Aquella,Oficina de Mantener,ACTIVO,NO,,BRU RODA PAULA LEONEL
59,76149360,CASTRILLO JUÁREZ,FELIX MANUELA,Analista G1,2020-10-06,CAS,Dirección General de Participación,Oficina de Alto,ACTIVO,NO,,CASTRILLO JUÁREZ FELIX MANUELA
60,98234975,AGUSTÍ CAPARRÓS   ,CARLOS    SOL,Asistente Administrativo,2023-04-04,CAS,Dirección General de Cómo,Oficina de Estudios,ACTIVO,NO,,AGUSTÍ CAPARRÓS    CARLOS    SOL
61,71498612,ARAUJO PEIRÓ,DAFNE CARMINA,Especialista Técnico,2017-10-28,CAS,Dirección General de Momento,Oficina de Fue,ACTIVO,NO,,ARAUJO PEIRÓ DAFNE CARMINA
62,88550257,MENDEZ PASTOR,TRINI NATIVIDAD,Asistente Administrativo,2026-01-25,D.L. 276,Dirección General de Dos,Oficina de Distintas,ACTIVO,NO,,MENDEZ PASTOR TRINI NATIVIDAD
63,22162966,PALLARÈS GALLO,ISABEL JOSEP,Coordinador Adjunto,2023-01-06,D.L. 276,Dirección General de Dios,Oficina de Atrás,ACTIVO,NO,,PALLARÈS GALLO ISABEL JOSEP
64,81415658,  RAMOS CORTES  ,ÁNGELA    JORDI,Asistente Administrativo,2024-12-28,CAS,Dirección General de Mejores,Oficina de Principios,ACTIVO,NO,,  RAMOS CORTES   ÁNGELA    JORDI
65,72383096,ELORZA REVILLA,AMADOR GASTÓN,Especialista Técnico,2023-09-17,D.L. 276,Dirección General de Quiere,Oficina de Chile,ACTIVO,NO,,ELORZA REVILLA AMADOR GASTÓN
66,41837853,REQUENA HURTADO,JUANITO FELICIANO,Asistente Administrativo,2024-03-21,D.L. 276,Dirección General de General,Oficina de Presencia,ACTIVO,NO,,REQUENA HURTADO JUANITO FELICIANO
67,87225157,  ARIAS SOSA  ,  IVÁN HERACLIO,Coordinador Adjunto,2024-07-05,D.L. 728,Dirección General de Mes,Oficina de Ellas,ACTIVO,NO,,  ARIAS SOSA     IVÁN HERACLIO
68,69467854,  MAYORAL GOÑI  ,JACINTO    AMADO,Asistente Administrativo,2022-12-12,CAS,Dirección General de Fondo,Oficina de Pesetas,ACTIVO,NO,,  MAYORAL GOÑI   JACINTO    AMADO
69,33273329,LOPEZ BAÑOS,MARÍA TERESA LEÓN,Especialista Técnico,2019-11-09,CAS,Dirección General de Duda,Oficina de Dirección,ACTIVO,NO,,LOPEZ BAÑOS MARÍA TERESA LEÓN
70,45377077,MUÑOZ AMORÓS,DAVID SATURNINA,Analista G1,2026-01-18,D.L. 276,Dirección General de José,Oficina de Unión,ACTIVO,NO,,MUÑOZ AMORÓS DAVID SATURNINA
71,74346089,LARA    ARENAS,CÉSAR    DÉBORA,Especialista Técnico,2020-09-09,D.L. 276,Dirección General de Sean,Oficina de Fuego,ACTIVO,NO,,LARA    ARENAS CÉSAR    DÉBORA
72,29557078,MIR RUBIO,ELOÍSA ARIADNA,Analista G1,2017-07-02,CAS,Dirección General de Material,Oficina de Principal,ACTIVO,NO,,MIR RUBIO ELOÍSA ARIADNA
73,95004804,FALCÓN IÑIGUEZ,ARSENIO LEANDRA,Analista G1,2020-09-14,CAS,Dirección General de Época,Oficina de Siguientes,ACTIVO,NO,,FALCÓN IÑIGUEZ ARSENIO LEANDRA
74,09046319,FIGUERAS PASCUAL,TOMÁS BUENAVENTURA,Analista G1,2025-11-01,D.L. 728,Dirección General de Tipos,Oficina de Español,ACTIVO,NO,,FIGUERAS PASCUAL TOMÁS BUENAVENTURA
75,09510313,MIR CASANOVAS,LOLA TRINIDAD,Especialista Técnico,2019-05-08,D.L. 728,Dirección General de Trata,Oficina de Hechos,ACTIVO,NO,,MIR CASANOVAS LOLA TRINIDAD
76,89788678,REAL MORERA,SAMUEL JOSEFINA,Asistente Administrativo,2019-04-21,CAS,Dirección General de Momento,Oficina de Tipo,ACTIVO,NO,,REAL MORERA SAMUEL JOSEFINA
77,72374754,RIVERO    PINILLA,  INÉS MARIANELA,Especialista Técnico,2025-05-16,D.L. 276,Dirección General de Blanco,Oficina de B,ACTIVO,NO,,RIVERO    PINILLA   INÉS MARIANELA
78,76644107,MASCARÓ RAMIS,CARLOTA PERLA,Asistente Administrativo,2016-05-07,CAS,Dirección General de Cuanto,Oficina de Acuerdo,ACTIVO,NO,,MASCARÓ RAMIS CARLOTA PERLA
79,63481354,ROPERO MONTSERRAT,ADELA VASCO,Asistente Administrativo,2020-10-07,CAS,Dirección General de Estados,Oficina de Pública,ACTIVO,NO,,ROPERO MONTSERRAT ADELA VASCO
80,12660195,SÁENZ DOMÉNECH,GENOVEVA CESAR,Analista G1,2019-03-08,D.L. 276,Dirección General de Análisis,Oficina de Suelo,ACTIVO,NO,,SÁENZ DOMÉNECH GENOVEVA CESAR
81,57854711,NARANJO BUENO,OLIVIA MARICRUZ,Coordinador Adjunto,2018-09-10,D.L. 728,Dirección General de Algún,Oficina de Realidad,ACTIVO,NO,,NARANJO BUENO OLIVIA MARICRUZ
82,55177214,FLOR COLOM,AMADOR ARTURO,Asistente Administrativo,2018-10-17,D.L. 276,Dirección General de Efecto,Oficina de Objetivo,ACTIVO,NO,,FLOR COLOM AMADOR ARTURO
83,07270734,BELTRAN SARABIA,SEVERINO SORAYA,Analista G1,2022-08-23,CAS,Dirección General de Nuestro,Oficina de Estructura,ACTIVO,NO,,BELTRAN SARABIA SEVERINO SORAYA
84,54038914,PLANA URRUTIA,SALOMÓN JOSE FRANCISCO,Coordinador Adjunto,2017-10-27,CAS,Dirección General de Ejército,Oficina de Y,ACTIVO,NO,,PLANA URRUTIA SALOMÓN JOSE FRANCISCO
85,33374089,CAMPILLO RODRÍGUEZ,ISIDORO GABRIEL,Especialista Técnico,2024-05-21,CAS,Dirección General de Viaje,Oficina de Tenido,ACTIVO,NO,,CAMPILLO RODRÍGUEZ ISIDORO GABRIEL
86,71979056,SOBRINO AYLLÓN,CECILIA JOSEP,Asistente Administrativo,2025-07-09,CAS,Dirección General de Hecho,Oficina de Difícil,ACTIVO,NO,,SOBRINO AYLLÓN CECILIA JOSEP
87,56623996,CAÑELLAS SOBRINO,GUADALUPE BERNARDA,Especialista Técnico,2026-03-23,D.L. 728,Dirección General de Actividades,Oficina de Voz,ACTIVO,NO,,CAÑELLAS SOBRINO GUADALUPE BERNARDA
88,62092889,SALAS VARGAS,TEODOSIO PAULINA,Especialista Técnico,2025-05-31,CAS,Dirección General de Cara,Oficina de Has,ACTIVO,NO,,SALAS VARGAS TEODOSIO PAULINA
89,59476002,CUENCA    TABOADA,VINICIO JUAN ANTONIO   ,Analista G1,2023-11-12,CAS,Dirección General de Podrá,Oficina de Resulta,ACTIVO,NO,,CUENCA    TABOADA VINICIO JUAN ANTONIO   
90,87529406,LLUCH VÁZQUEZ,AMADA EUGENIA,Analista G1,2018-09-26,CAS,Dirección General de Interés,Oficina de Otros,ACTIVO,NO,,LLUCH VÁZQUEZ AMADA EUGENIA
91,31726319,MACIAS GUITART,LALO NICO,Especialista Técnico,2019-07-17,D.L. 728,Dirección General de Palabra,Oficina de Eso,ACTIVO,NO,,MACIAS GUITART LALO NICO
92,65181649,CHACÓN CONTRERAS,JERÓNIMO RODOLFO,Asistente Administrativo,2023-04-14,CAS,Dirección General de Éxito,Oficina de Hizo,ACTIVO,NO,,CHACÓN CONTRERAS JERÓNIMO RODOLFO
93,53826717,BARÓ RIBERA,SATURNINO NATALIO,Analista G1,2021-10-09,CAS,Dirección General de Ir,Oficina de Parte,ACTIVO,NO,,BARÓ RIBERA SATURNINO NATALIO
94,50864912,GABALDÓN RIVERA,ROQUE VERÓNICA,Analista G1,2024-01-17,D.L. 728,Dirección General de Septiembre,Oficina de Viaje,ACTIVO,NO,,GABALDÓN RIVERA ROQUE VERÓNICA
95,35594952,ALLER PINTOR,ALBINA ADOLFO,Asistente Administrativo,2025-10-09,D.L. 728,Dirección General de Largo,Oficina de Psoe,ACTIVO,NO,,ALLER PINTOR ALBINA ADOLFO
96,56775104,PORTA RIUS,BÁRBARA MARIANA,Asistente Administrativo,2023-09-10,CAS,Dirección General de Mejores,Oficina de Secretario,ACTIVO,NO,,PORTA RIUS BÁRBARA MARIANA
97,25487661,GIMÉNEZ TORRENTS   ,ISIDORO    LEANDRO,Coordinador Adjunto,2020-09-14,CAS,Dirección General de Si,Oficina de Última,ACTIVO,NO,,GIMÉNEZ TORRENTS    ISIDORO    LEANDRO
98,07849495,NAVARRETE QUIROGA,LOURDES FITO,Analista G1,2024-10-01,D.L. 276,Dirección General de Semanas,Oficina de Momento,ACTIVO,NO,,NAVARRETE QUIROGA LOURDES FITO
99,42091326,AMORES PRADA,DORA CINTIA,Analista G1,2022-12-22,CAS,Dirección General de Gobierno,Oficina de Amigos,ACTIVO,NO,,AMORES PRADA DORA CINTIA
100,78406990,ROMERO CERDÁ,ROXANA ÍÑIGO,Asistente Administrativo,2018-02-28,D.L. 276,Dirección General de Público,Oficina de Razón,ACTIVO,NO,,ROMERO CERDÁ ROXANA ÍÑIGO
101,71286544,MORÁN GALÁN,WÁLTER NACHO,Especialista Técnico,2019-09-20,CAS,Dirección General de Abril,Oficina de Razón,ACTIVO,NO,,MORÁN GALÁN WÁLTER NACHO
102,68159588,  LOBO ROBLES  ,  JOSÉ ANTONIO PERLITA,Analista G1,2017-03-01,CAS,Dirección General de Al,Oficina de Llega,ACTIVO,NO,,  LOBO ROBLES     JOSÉ ANTONIO PERLITA
103,09196778,AZORIN OLMO,JACOBO FLORENTINA,Analista G1,2017-01-11,D.L. 276,Dirección General de Máximo,Oficina de Existencia,ACTIVO,NO,,AZORIN OLMO JACOBO FLORENTINA
104,31568533,ARJONA ANGUITA,JOSE MIGUEL HERACLIO,Asistente Administrativo,2024-09-26,CAS,Dirección General de Oficial,Oficina de Luego,ACTIVO,NO,,ARJONA ANGUITA JOSE MIGUEL HERACLIO
105,76460540,GÓMEZ CASES,AINARA HAYDÉE,Especialista Técnico,2017-06-27,D.L. 276,Dirección General de R,Oficina de Posible,ACTIVO,NO,,GÓMEZ CASES AINARA HAYDÉE
106,79795011,SOLA JAÉN,MARÍA FERNANDA RAFA,Analista G1,2018-01-08,D.L. 276,Dirección General de Parecía,Oficina de Rafael,ACTIVO,NO,,SOLA JAÉN MARÍA FERNANDA RAFA
107,11003627,CARBÓ CÉSPEDES,MARÍA CÁNDIDO,Asistente Administrativo,2022-02-17,D.L. 276,Dirección General de Propios,Oficina de Respecto,ACTIVO,NO,,CARBÓ CÉSPEDES MARÍA CÁNDIDO
108,78339169,PEREZ PUENTE   ,LIGIA HELIODORO   ,Coordinador Adjunto,2017-02-07,D.L. 728,Dirección General de Río,Oficina de Ocasión,ACTIVO,NO,,PEREZ PUENTE    LIGIA HELIODORO   
109,27415206,HERRERO CAL,JOSEFINA MARÍA TERESA,Coordinador Adjunto,2019-05-12,CAS,Dirección General de Habrá,Oficina de Debido,ACTIVO,NO,,HERRERO CAL JOSEFINA MARÍA TERESA
110,35650177,CARRILLO ARMENGOL,OVIDIO BERTA,Asistente Administrativo,2020-08-17,CAS,Dirección General de Tampoco,Oficina de Mismo,ACTIVO,NO,,CARRILLO ARMENGOL OVIDIO BERTA
111,90152736,VELASCO NOGUEIRA,ALBANO REINA,Coordinador Adjunto,2020-07-18,D.L. 728,Dirección General de Carácter,Oficina de Nada,ACTIVO,NO,,VELASCO NOGUEIRA ALBANO REINA
112,42436585,ROSSELLÓ PAREDES,FABIOLA TATIANA,Analista G1,2024-08-19,CAS,Dirección General de Baja,Oficina de Luego,ACTIVO,NO,,ROSSELLÓ PAREDES FABIOLA TATIANA
113,61510042,ROZAS ECHEVERRÍA,MACARENA AZAHARA,Analista G1,2025-12-31,CAS,Dirección General de Pueblo,Oficina de Blanco,ACTIVO,NO,,ROZAS ECHEVERRÍA MACARENA AZAHARA
114,72160069,TOMÁS SOLA,TRISTÁN PAOLA,Especialista Técnico,2023-08-28,D.L. 276,Dirección General de Hora,Oficina de Mercado,ACTIVO,NO,,TOMÁS SOLA TRISTÁN PAOLA
115,35594598,HIGUERAS BOLAÑOS,LEÓN SOCORRO,Especialista Técnico,2020-11-07,D.L. 728,Dirección General de Carrera,Oficina de Nuevos,ACTIVO,NO,,HIGUERAS BOLAÑOS LEÓN SOCORRO
116,09233014,PINILLA NAVARRETE,AMBROSIO ANA BELÉN,Especialista Técnico,2024-11-08,D.L. 728,Dirección General de Ciudad,Oficina de Calidad,ACTIVO,NO,,PINILLA NAVARRETE AMBROSIO ANA BELÉN
117,38250361,GARAY PACHECO,NAYARA JUAN,Especialista Técnico,2019-10-01,D.L. 728,Dirección General de Rodríguez,Oficina de Mesa,ACTIVO,NO,,GARAY PACHECO NAYARA JUAN
118,72909481,LLORENTE AGUSTÍN,ASUNCIÓN GRACIANO,Coordinador Adjunto,2017-03-14,D.L. 276,Dirección General de Finalmente,Oficina de Dado,ACTIVO,NO,,LLORENTE AGUSTÍN ASUNCIÓN GRACIANO
119,87775216,TORRES HERNANDEZ,JESSICA ALBA,Analista G1,2022-10-21,D.L. 276,Dirección General de Jefe,Oficina de Etc,ACTIVO,NO,,TORRES HERNANDEZ JESSICA ALBA
120,74437459,ALEMANY BUENDÍA,MACARIO ISMAEL,Coordinador Adjunto,2020-05-22,D.L. 276,Dirección General de Cuerpo,Oficina de Seguridad,ACTIVO,NO,,ALEMANY BUENDÍA MACARIO ISMAEL
121,13903145,PEINADO SÁENZ,CAROLINA BERNARDA,Especialista Técnico,2019-10-13,D.L. 728,Dirección General de Doctor,Oficina de Manuel,ACTIVO,NO,,PEINADO SÁENZ CAROLINA BERNARDA
122,15492574,MURO ORTIZ,JULIA WILFREDO,Analista G1,2019-01-20,D.L. 276,Dirección General de Problemas,Oficina de Allí,ACTIVO,NO,,MURO ORTIZ JULIA WILFREDO
123,74252421,CARRILLO FERNÁNDEZ,MAXIMIANO DIMAS,Especialista Técnico,2023-10-10,D.L. 728,Dirección General de Animales,Oficina de Práctica,ACTIVO,NO,,CARRILLO FERNÁNDEZ MAXIMIANO DIMAS
124,37816687,ESTEVE FELIU,INOCENCIO MAMEN,Especialista Técnico,2021-03-09,D.L. 276,Dirección General de Médico,Oficina de Españoles,ACTIVO,NO,,ESTEVE FELIU INOCENCIO MAMEN
125,46020614,ZAMORANO LUNA,CORNELIO PEPITA,Especialista Técnico,2018-04-15,D.L. 276,Dirección General de Lado,Oficina de Único,ACTIVO,NO,,ZAMORANO LUNA CORNELIO PEPITA
126,85125978,ESCOBAR MATE,ALBERTO LEANDRA,Coordinador Adjunto,2021-09-08,D.L. 276,Dirección General de Don,Oficina de Años,ACTIVO,NO,,ESCOBAR MATE ALBERTO LEANDRA
127,65569636,BALLESTER MANZANO,JOSÉ EDMUNDO,Coordinador Adjunto,2022-09-22,CAS,Dirección General de Sola,Oficina de Jefe,ACTIVO,NO,,BALLESTER MANZANO JOSÉ EDMUNDO
